project_id,scope_id,supplier_id,scope_voce,categoria,societa_pagante,preventivo_iniziale_eur,preventivo_aggiornato_eur,acconti_pagati_eur,stato_commitment,data_firma,data_prossima_scadenza,importo_prossima_scadenza_eur,note
HPAN25PIANO1,001,001,Opere murarie strutturali piano 1,EDILE,INTUR,375389.25,412928.18,,IN_CORSO,2026-02-27,,,"Contratto firmato, overrun +37.5K vs firmato - fatturato (Ft 02-26 Intur Saldo_AMIANTO)"
HPAN25PIANO1,002,002,Impianti elettrici piano 1,IMPIANTI_EL,INTUR,101705.84,106791.13,,IN_CORSO,2026-02-27,,,"Contratto firmato, overrun +5.1K - fatturato parziale - residuo su PaymentSchedule"
HPAN25PIANO1,003,003,Impianti meccanici + idrico-sanitari + antincendio,IMPIANTI_MC,INTUR,86088.28,86088.28,0,FIRMATO,2026-02-27,,,"Contratto firmato, non iniziato - Offerta Impianto Meccanico vault"
HPAN25PIANO1,004,004,Infissi esterni piano 1,INFISSI,INTUR,106647.10,106647.10,0,FIRMATO,,,,"Preventivo 20260107-PREVENTIVO_infissi_aggiornato.pdf - da firmare/confermare"
HPAN25PIANO1,005,005,Porte standard camere,PORTE,INTUR,12100.00,12100.00,0,FIRMATO,2026-02-27,,,"Ordine n.864 confermato - 3 tipi porte (maniglia 5.4K + scorrevole 4.2K + scorrevole vetrata 2.5K)"
HPAN25PIANO1,006,006,Porte REI antincendio corridoi,PORTE,INTUR,19500.00,,0,IPOTESI,,,,"Stima da Excel tab 02 - nessun preventivo ricevuto - cercare fornitore CSC o alternative"
HPAN25PIANO1,007,007,Progettazione architettonica,CONSULENZA,INTUR,,,0,PREVENTIVO_PENDING,,,,"Archisavio - importo da Excel COMPLETO mancante - preventivo in arrivo"
HPAN25PIANO1,008,008,Direzione lavori / ingegneria,CONSULENZA,INTUR,,,0,PREVENTIVO_PENDING,,,,"Pisacane - importo da Excel COMPLETO mancante"
HPAN25PIANO1,009,009,Progettazione impianti,CONSULENZA,INTUR,,,0,PREVENTIVO_PENDING,,,,"NESE - distinto da STE/Santelia (esecuzione) - importo da Excel COMPLETO"
HPAN25PIANO1,010,010,Project Management,CONSULENZA,ORTI,,,0,PREVENTIVO_PENDING,,,,"Hospitality Project - SOCIETA PAGANTE=ORTI (unica opex del progetto)"
HPAN25PIANO1,011,011,Armadi + cucine + interior design,ARREDI_CUSTOM,INTUR,,,0,PREVENTIVO_RICEVUTO,,,,"Studio Ninni - preventivo vault 21/02/2026 termini 30gg - importo da recuperare"
HPAN25PIANO1,012,012,Arredi camere (divani/poltrone/tavoli/etc),ARREDI,INTUR,,,0,PREVENTIVO_RICEVUTO,,,,"Atelier Hospitality - preventivo vault acquisito - importo da recuperare"
HPAN25PIANO1,013,013,Falegnameria custom armadi,ARREDI_CUSTOM,INTUR,38775.00,,0,IPOTESI,,,,"Rino Cuomo - stima da Excel tab 02 voce 'Armadio' - possibile overlap con Studio Ninni da risolvere"
HPAN25PIANO1,014,014,Fornitura piastrelle (materiale),FINITURE,INTUR,19500.00,,0,IPOTESI,,,,"Sicigniano - stima 65% del totale piastrelle 30.5K (materiale+posa) da Excel tab 02"
HPAN25PIANO1,015,900,Posa piastrelle,FINITURE,INTUR,11000.00,,0,IPOTESI,,,,"NO VENDOR - stima 35% del totale piastrelle 30.5K - cercare sub-appaltatore"
HPAN25PIANO1,016,015,Letti + materassi + sommier,ARREDI,INTUR,12150.00,,0,IPOTESI,,,,"Dorelan - stima da Excel tab 02 (materassi 6.3+2.7 + sommier 3.15)"
HPAN25PIANO1,017,016,Testiere letto imbottite cablate + tende,ARREDI,INTUR,27500.00,,0,IPOTESI,,,,"Domus - stima da Excel tab 02 voce 'Testata letto imbottita cablata'"
HPAN25PIANO1,018,017,Moquette design + posa,FINITURE,INTUR,,,0,IPOTESI,,,,"Floor Design - importo da Excel COMPLETO - non separato nel tab 02"
HPAN25PIANO1,019,018,Frigobar + cassaforte camera,ARREDI,INTUR,,,0,IPOTESI,,,,"Indelb - importo da Excel COMPLETO - tab 02 ha 1.65K 'mobile con frigobar e coffee maker'"
HPAN25PIANO1,020,019,TV lcd camere,TECH,INTUR,5000.00,,0,IPOTESI,,,,"Capone (ragione sociale DA DEFINIRE) - stima TV only - staffe TV su Amazon separate"
HPAN25PIANO1,021,020,Comodini camere,ARREDI,INTUR,5940.00,,0,IPOTESI,,,,"Zara Home - stima da Excel tab 02 voce 'Comodino'"
HPAN25PIANO1,022,021,Corpi illuminanti camera+bagno,ARREDI,INTUR,5600.00,,0,IPOTESI,,,,"Illuxit - stima da Excel tab 02 voce 'Corpi illuminanti (compreso bagno)'"
HPAN25PIANO1,023,901,Illuminazione balconi,ARREDI,INTUR,2000.00,,0,IPOTESI,,,,"NO VENDOR - stima manuale"
HPAN25PIANO1,024,022,Cabine doccia + specchi bagno,BAGNO,INTUR,57100.00,,0,IPOTESI,,,,"Flab - stima da Excel tab 02 (lavabo 17.5 + vasca 15 + piatto 7.15 + anta 6.8 + specchio 10.65)"
HPAN25PIANO1,025,023,Domotica / automation camera,TECH,INTUR,7000.00,,0,IPOTESI,,,,"VDA - stima da Excel tab 02 voce 'Parete cablata'"
HPAN25PIANO1,026,024,Sanitari + rubinetterie,BAGNO,INTUR,10070.00,,0,IPOTESI,,,,"Sanitari multi-marchio (Geberit+Frattini+Rocky+Comoda) - da Excel tab 02"
HPAN25PIANO1,027,902,Segnaletica interna,ARREDI,INTUR,1500.00,,0,IPOTESI,,,,"NO VENDOR - stima manuale"
HPAN25PIANO1,028,999,Fondo riserva / imprevisti,IMPREVISTI,INTUR,38027.79,,0,ALLOCATO,,,,"5% del budget - Cassa generica - non vendor-attributable"
